Nom,Actions,Actions légendaires,CA,CHAR,CON,DEX,Description,FOR,INT,Modif. CHAR,Modif. CON,Modif. DEX,Modif. FOR,Modif. INT,Modif. SAG,PV,Puissance (XP),Race,SAG,Taille,Vitesse
Golem de Bric-à-Brac,"Attaques multiples. La gargouille effectue deux attaques Frappe.
Attaque au corps à corps avec une arme : +4 au toucher, allonge 1,50 m, une cible. Touché : 5 (1d8 + 4) dégâts tranchants.",,15,7,16,11,"Résistances aux dégâts contondant, perforant et tranchant d'attaques non magiques qui ne sont pas en adamantiumImmunités aux dégâts poisonImmunités aux états épuisement, pétrifié, empoisonnéSens vision dans le noir 18 m, Perception passive 10Langues terreux

Apparence trompeuse. Tant que le Golem reste immobile, elle ne peut être distinguée d'un tas de débris.",12,6,-2,3,0,1,-2,0,52,450,Elémentaire,11,M,9m
Horreur câblée,"Coup. Attaque au corps à corps avec une arme : +3 au toucher, allonge 1,50 m, une cible. Touché : 4  1d6+1 dégâts contondants + 1d4 dégâts nécrotiques.
",,8,5,16,6,"Jets de sauvegarde Sag +0
Immunités aux dégâts poison
Immunités aux états empoisonné
Sens vision dans le noir 18 m, Perception passive 8
Langues comprend les langues qu'il connaissait de son vivant mais ne peut pas parler

Décharge Nécrotique : Quand une Horreur Câblée subit des dégâts de foudre ou de feu, elle réagit. Chaque créature à 1,5m d'elle doit réussir un jet de sauvegarde de Dextérité DD 12 ou subir 1d6 de dégâts nécrotiques.
Tenacité de mort-vivant. Si des dégâts font tomber le zombi à 0 point de vie, celui-ci doit effectuer un jet de sauvegarde de Constitution DD 5 + les dégâts subis, sauf en cas de dégâts radiants ou coup critique. En cas de réussite, il tombe à 1 point de vie à la place.",13,3,-3,3,-2,1,-4,-2,22,50,Mort-Vivant,6,M,9
Prestelin,"Attaques  multiples : Le Prestelin peut faire 3 attaques de Dagues.
Dagues :  Mêlée ou attaque distante à l’arme : +8 au touché, détente 1,5 m. ou portée 6/18m., une cible. Touché : 8 (1d4 + 6) dégats perçants.",,16,7,1,23,"Compétences Acrobaties +8, Escamotage +8, Discrétion +8, Perception +5
Sens vision dans le noir 18 m, Perception passive 15
Langues commun, sylvestre
Bonus de maîtrise +2
Mouvement flou :  Les attaques contre la créature ont un désavantage, à moins que cette dernière soit incapacité ou que sa vitesse soit réduite à 0.
Esquive totale :  Si la créature doit réussir un jet de sauvegarde pour déterminer si une attaque comme Boule de Feu touche, un JDS réussi ne fait aucun dégats, un JDS raté fait seulement la moitié des dégats. A condition que le Prestelin ne soit pas incapacité

",4,10,-2,-5,6,-3,0,1,10,200,Féé,12,TP,36m
Guenaude Verte,"Griffes. Attaque au corps à corps avec une arme : +6 au toucher, allonge 1,50 m, une cible. Touché : 13 (2d8 + 4) dégâts tranchants.
Apparence illusoire. Grace à une illusion magique la guenaude se déguise, elle et tout ce qu'elle porte ou transporte, en une autre créature d'une taille équivalente et de forme humanoïde. L'effet se termine si la guenaude utilise son action bonus pour y mettre fin ou si elle meurt. Les modifications corporelles apportées par cet effet ne parviennent pas à duper une inspection corporelle. Par exemple, la guenaude peut sembler avoir une peau douce et fine, mais quiconque la touche sent immédiatement sa chaire rugueuse. Sinon, une créature doit utiliser une action pour inspecter visuellement l'illusion et réussir un jet d'Intelligence (Investigation) DD 20 pour remarquer que la guenaude est déguisée.
Passage invisible. La guenaude devient invisible par magie jusqu'à ce qu'elle attaque, lance un sort, ou jusqu'à ce que sa concentration se termine (comme si elle se concentrait sur un sort). Tant qu'elle est invisible, elle ne laisse aucune trace physique de son passage, elle ne peut donc être traquée que par magie. Tout l'équipement qu'elle porte ou transporte est également invisible.",,17,14,16,12,"Compétences Arcanes +3, Discrétion +3, Perception +4, Tromperie +4
Sens vision dans le noir 18 m, Perception passive 14
Langues commun, draconique, sylvestre
Amphibien. La guenaude peut respirer aussi bien dans l'air que sous l'eau.
Incantation innée. La caractéristique d'incantation innée de la guenaude est le Charisme (jet de sauvegarde contre ses sorts DD 12). Elle peut lancer les sorts suivants de manière innée, sans avoir besoin de composantes matérielles :À volonté : Lumières dansantes (https://www.notion.so/Lumi-res-dansantes-247300de717f80ed9332d691cfbeb973?pvs=21), Illusion mineure (https://www.notion.so/Illusion-mineure-247300de717f8041b95dd13dc2ad933a?pvs=21), Moquerie cruelle (https://www.notion.so/Moquerie-cruelle-24a300de717f80558d74c22d9a874df0?pvs=21) 
Imitation. La guenaude peut imiter les cris des animaux et les voix des humanoïdes. Une créature qui entend ces sons peut dire qu'il s'agit d'imitations en réussissant un jet de Sagesse (Intuition) DD 14.",18,13,2,3,1,4,1,2,82,700,Féé,14,M,9m
Bonnet-rouge,"Attaques multiples. Le Bonnet-rouge fait 3 attaques avec sa serpe mauvaise.
Serpe mauvaise. Attaque de mêlée : +6 au touché, porté 1,5m, une cible. Touché: 9 (2d4 + 4) dommage tranchant.
Poursuite de fer. Le Bonnet-rouge se déplace de sa vitesse vers un adversaire qu’il peut voir and le frappe avec ses bottes en fer. La cible doit réussir un jet de sauvegarde de Dextérité (DD 14) ou prendre 20 (3d10+4 ) points de dégâts contandants et subir l’état renversé.",,14,9,18,13,"Compétences Athlétisme +6, Perception +3
Sens vision dans le noir 18 m, Perception passive 13
Langues commun, sylvestre
Bonus de maîtrise +2
Bottes en fer. Quand il se déplace, le Bonnet-rouge à un désavantage aux JDS de Dextérité
Force hors normes. Quand il subit l’état aggripé, le bonnet-rouge est considéré de taille M. De plus, porté une arme lourde ne lui applique pas de désavantage aux jets d’attaques.",18,10,-1,4,1,4,0,1,45,700,Féé,12,P,"7,5m"
Assassin,"Attaques multiples. L'assassin effectue deux attaques avec l'épée courte.
Épée courte. Attaque au corps à corps avec une arme : +6 au toucher, allonge 1,50 m, une cible. Touché : 6 (1d6 + 3) dégâts perforants, et la cible doit effectuer un jet de sauvegarde de Constitution DD 15, subissant 24 (7d6) dégâts de poison en cas d'échec, ou la moitié de ces dégâts en cas de réussite.
Arbalète légère. Attaque à distance avec une arme : +6 au toucher, portée 24/96 m, une cible. Touché : 7 (1d8 + 3) dégâts perforants, et la cible doit effectuer un jet de sauvegarde de Constitution DD 15, subissant 24 (7d6) dégâts de poison en cas d'échec, ou la moitié de ces dégâts en cas de réussite.",,15,10,14,16,"Jets de sauvegarde Dex +6, Int +4
Compétences Acrobaties +6, Discrétion +9, Perception +3, Tromperie +3
Résistances aux dégâts poison
Sens Perception passive 13
Langues jargon des voleurs plus deux langues au choix
Assassinat. Au cours de son premier tour, l'assassin a un avantage aux jets d'attaque contre toute créature qui n'a pas encore pris un tour. Tout coup de l'assassin qui touche contre une créature surprise est un coup critique.
Attaque sournoise. Une fois par tour, l'assassin inflige 14 (4d6) dégâts supplémentaires quand il touche une cible lors d'une attaque avec une arme et qu'il a un avantage au jet d'attaque, ou lorsque la cible est 1,50 mètre ou moins d'un allié de l'assassin qui n'est pas incapable d'agir et si l'assassin n'a pas un désavantage à son jet d'attaque.
Esquive totale. Si l'assassin est soumis à un effet qui lui permet d'effectuer un jet de sauvegarde de Dextérité pour ne subir que la moitié des dégâts, il ne subit aucun dégât s'il réussit son jet de sauvegarde, et seulement la moitié des dégâts s'il échoue.",11,13,0,2,3,0,1,0,78,3900,Humanoïde,11,,9m
Bandit,"Cimeterre. Attaque au corps à corps avec une arme : +3 au toucher, allonge 1,50 m, une cible. Touché : 4 (1d6 + 1) dégâts tranchants.
Arbalète légère. Attaque à distance avec une arme : +3 au toucher, portée 24/96 m, une cible. Touché : 5 (1d8 + 1) dégâts perforants.",,12,10,12,12,"Sens Perception passive 10
Langues une langue au choix (généralement le commun)",11,10,0,1,1,0,0,0,11,25,Humanoïde,10,,9m
Fomorien,"Attaques multiples. Le fomorien attaque deux fois avec sa massue ou effectue une attaque avec sa massue et utilise une fois Mauvais œil.
Massue. Attaque au corps à corps avec une arme : +9 au toucher, allonge 4,50 m, une cible. Touché : 19 (3d8 + 6) dégâts contondants.
Mauvais Œil. Le fomorien force par magie une créature qu'il peut voir dans un rayon de 18 mètres autour de lui à effectuer un jet de sauvegarde de Charisme DD 14. La créature subit 24 (6d8) dégâts psychiques en cas d'échec, ou la moitié de ses dégâts en cas de réussite.
Malédiction du mauvais oeil (Recharge après un repos court ou long). D'un regard, le fomorien utilise Mauvais Œil, mais en cas d'échec au jet de sauvegarde, la créature est également maudite de difformités magiques. Tant qu'elle est déformée, la créature a une vitesse divisée par deux et un désavantage aux jets de caractéristique, jets de sauvegarde et jets d'attaque basés sur la Force ou la Dextérité.La créature transformée peut retenter son jet de sauvegarde chaque fois qu'elle finit un repos long, mettant fin à l'effet qui l'affecte en cas de réussite.
",,14,6,20,10,"Compétences Discrétion +3, Perception +8
Sens vision dans le noir 36 m, Perception passive 18
Langues géant, commun des profondeurs",23,9,-2,5,0,6,-1,2,149,3900,Géant,14,,12m
Lierreux,"Constriction. Attaque au corps à corps avec une arme : +4 au toucher, allonge 3 m, une cible. Touché : 9 (2d6 + 2) dégâts contondants, et une cible de taille G ou inférieure est agrippée (DD 12 pour s'échapper). Tant qu'elle est agrippée, la cible est entravée, et le lierre infecté ne peut pas effectuer une attaque de constriction contre une autre cible.
Enchevêtrement des plantes (Recharge 5-6). Des lianes et des racines entortillées poussent dans un rayon de 4,50 mètres centré sur le lierre infecté, et se flétrissent au bout de 1 minute. Pendant toute la durée de l'effet, cette zone est considérée comme un terrain difficile pour les créatures qui ne sont pas de type plante. De plus, toute créature présente dans la zone lorsque les plantes poussent, et que le lierre infecté choisit, doit réussir un jet de sauvegarde de Force DD 12 ou être entravée. Une créature peut utiliser son action pour effectuer un jet de Force DD 12, se libérant elle, ou libérant une autre créature entravée à portée, en cas de réussite.",,12,3,14,8,"Apparence trompeuse. Tant que le lierre infecté reste immobile, il ne peut être distingué d'un entrelacs de plantes grimpantes.",15,5,-4,2,-1,2,-3,0,26,100,Plante,10,,3
Bulette,"Morsure. Attaque au corps à corps avec une arme : +7 au toucher, allonge 1,50 m, une cible. Touché : 30 (4d12 + 4) dégâts perforants.
Saut implacable. Si la bulette parcourt au moins 4,50 mètres en sautant lors de son mouvement, elle peut utiliser son action pour atterrir sur un espace où se trouvent une ou plusieurs créatures. Chaque créature doit alors réussir un jet de sauvegarde de Force ou de Dextérité DD 16 (au choix de la cible) ou tomber à terre et subir 14 (3d6 + 4) dégâts contondants + 14 (3d6 + 4) dégâts tranchants. Si le jet de sauvegarde est réussi, la créature subit la moitié des dégâts, n'est pas projetée au sol, et est poussée de 1,50 mètre hors de l'espace de la bulette (vers un espace inoccupé choisi par la créature). S'il n'y a pas d'espace libre à portée, la créature se retrouve à terre dans l'espace de la bulette",,17,5,21,11,"Compétences Perception +6
Sens vision dans le noir 18 m, perception des vibrations 18 m, Perception passive 16
Langues
Saut sans élan. La bulette peut sauter en longueur jusqu'à 9 mètres ou en hauteur jusqu'à 4,50 mètres, avec ou sans élan.",19,2,-3,5,0,4,-4,0,94,1800,Monstruosité,10,G,"12m, creusement 12m"
Quaggoth,"Attaques multiples. Le quaggoth effectue deux attaques avec ses griffes.
Griffes. Attaque au corps à corps avec une arme : +5 au toucher, allonge 1,50 m, une cible. Touché : 6 (1d6 + 3) dégâts tranchants.",,13,7,16,12,"Compétences Athlétisme +5
Immunités aux dégâts poison
Immunités aux états empoisonné
Sens vision dans le noir 36 m, Perception passive 11
Langues commun des profondeurs

Fureur du blessé. Tant qu'il est à 10 points de vie ou moins, le qaggoth a un avantage aux jets d'attaque. De plus, il inflige 7 (2d6) dégâts supplémentaires à chaque cible qu'il touche avec une attaque au corps à corps.",17,6,-2,3,1,3,-2,1,45,450,Humanoïde,12,M,"9m, escalade 9m"
Drider,"Attaques multiples. Le drider effectue trois attaques, soit avec son épée longue, soit avec son arc long. Il peut remplacer l'une de ses attaques par une attaque de morsure.
Morsure. Attaque au corps à corps avec une arme : +6 au toucher, allonge 1,50 m, une créature. Touché : 2 (1d4) dégâts perforants + 9 (2d8) dégâts de poison.
Épée longue. Attaque au corps à corps avec une arme : +6 au toucher, allonge 1,50 m, une cible. Touché : 7 (1d8 + 3) dégâts tranchants, ou 8 (1d10 + 3) dégâts tranchants si utilisée à deux mains.
Arc long. Attaque à distance avec une arme : +6 au toucher, portée 45/180 m, une cible. Touché : 7 (1d8 + 3) dégâts perforants + 4 (1d8) dégâts de poison.",,19,12,18,16,"Compétences Discrétion +9, Perception +5
Sens vision dans le noir 36 m, Perception passive 15
Langues elfique, commun des profondeurs
Puissance 6 (2300 PX)
Ascendance féerique. Le drider a un avantage aux jets de sauvegarde contre les effets de charme, et la magie ne peut pas l'endormir.
Incantation innée. La caractéristique d'incantation innée du drider est la Sagesse (jet de sauvegarde contre ses sorts DD 13). Le drider peut lancer les sorts suivants de manière innée, sans avoir besoin de composantes matérielles :À volonté : https://www.aidedd.org/dnd/sorts.php?vf=lumieres-dansantes1/jour chacun : https://www.aidedd.org/dnd/sorts.php?vf=tenebres, https://www.aidedd.org/dnd/sorts.php?vf=lueurs-feeriques
Pattes d'araignée. Le drider peut escalader des surfaces difficiles et être au plafond la tête en bas sans avoir besoin d'effectuer un jet de caractéristique.
Sensibilité au soleil. S'il est exposé à la lumière du soleil, le drider a un désavantage aux jets d'attaque et aux jets de Sagesse (Perception) basés sur la vue.
Déplacement sur la toile. Le drider ignore les restrictions de mouvement causées par une toile d'araignée.",16,13,1,4,3,3,1,2,123,2300,Monstruosité,14,G,"9m, escalade 9m"
Araignée géante,"Morsure. Attaque au corps à corps avec une arme : +5 au toucher, allonge 1,50 m, une créature. Touché : 7 (1d8 + 3) dégâts perforants, et la cible doit réaliser un jet de sauvegarde de Constitution DD 11, subissant 9 (2d8) dégâts de poison en cas d'échec, ou la moitié de ces dégâts en cas de réussite. Si le poison réduit les points de vie de la cible à 0, celle-ci est stable mais empoisonnée durant 1 heure, même si elle récupère des points de vie par la suite, et paralysée tant qu'elle est empoisonnée de cette manière.
Toile d'araignée (Recharge 5-6). Attaque à distance avec une arme : +5 au toucher, portée 9/18 m, une créature. Touché : la cible est entravée par la toile. Par une action, la cible entravée peut effectuer un jet de Force DD 12, déchirant la toile en cas de réussite. La toile peut aussi être attaquée et détruite (CA 10 ; pv 5 ; vulnérabilité aux dégâts de feu ; immunités aux dégâts contondants, de poison et psychiques).",,14,4,12,16,"Compétences Discrétion +7
Sens vision aveugle 3 m, vision dans le noir 18 m, Perception passive 10
Langues -
Déplacement sur la toile. L'araignée ignore les restrictions de mouvement causées par une toile d'araignée.
Pattes d'araignée. L'araignée peut escalader des surfaces difficiles et être au plafond la tête en bas sans avoir besoin d'effectuer un jet de caractéristique.
Sens de la toile. Lorsqu'elle est en contact avec une toile, l'araignée connait l'emplacement exact de toutes les créatures qui sont en contact avec cette toile.",14,2,-3,1,3,2,-4,0,26,200,Bête,11,G,"9m, escalade 9m"
Drow,"Épée courte. Attaque au corps à corps avec une arme : +4 au toucher, allonge 1,50 m, une cible. Touché : 5 (1d6 + 2) dégâts perforants.
Arbalète de poing. Attaque à distance avec une arme : +4 au toucher, portée 9/36 m, une cible. Touché : 5 (1d6 + 2) dégâts perforants, et la cible doit réussir un jet de sauvegarde de Constitution DD 13 ou être empoisonnée pendant 1 heure. Si le jet de sauvegarde échoue de 5 ou plus, la cible est également inconsciente tant qu'elle est empoisonnée de la sorte. La cible se réveille si elle subit des dégâts ou si une autre créature utilise son action pour la secouer.",,15,12,10,14,"Compétences Discrétion +4, Perception +2
Sens vision dans le noir 36 m, Perception passive 12
Langues elfique, commun des profondeurs

Ascendance féerique. Le drow a un avantage aux jets de sauvegarde contre les effets de charme, et la magie ne peut pas l'endormir.
Incantation innée. La caractéristique d'incantation innée du drow est le Charisme (jet de sauvegarde contre ses sorts DD 11). Il peut lancer les sorts suivants de manière innée, sans avoir besoin de composantes matérielles :À volonté : https://www.aidedd.org/dnd/sorts.php?vf=lumieres-dansantes1/jour chacun : https://www.aidedd.org/dnd/sorts.php?vf=tenebres, https://www.aidedd.org/dnd/sorts.php?vf=lueurs-feeriques
Sensibilité au soleil. S'il est exposé à la lumière du soleil, le drow a un désavantage aux jets d'attaque et aux jets de Sagesse (Perception) basés sur la vue.",10,11,1,0,2,0,0,0,13,50,Humanoïde,11,M,9m
